"nome","pre","pos","veryhigh","inicio","inicio.ic","duracao","duracao.ic","quant_pos","quant_epidemico","mininc_pre","mininc_pos","mininc_epi","ano_inicio","ano_fim","populacao","cid10"
"Sergipe",2.99495295313925,6.01762369550479,17.0213479459753,19,"[6-24]",12,"[1.93564356435644-15.3421052631579]",0.497317199760564,24.2329108246966,0.226053272618438,0.226053272618438,0.452106545236877,2015,2024,2211868,"A90"
"Bahia",3.68757224956687,3.97391512465985,22.3281900042669,9,"[4-15]",12,"[10.4558139534884-14]",1.1869822429503,37.0283885904265,0.0341086851422499,0.0341086851422499,0.0682173702844999,2015,2024,14659023,"A90"
"Paraná",13.7498051353086,12.8430766427512,116.370612295452,7,"[3-12]",14,"[12-15]",2.83049659837678,196.275928299381,0.0422462178862206,0.0422462178862206,0.0844924357724413,2015,2024,11835379,"A90"
"Roraima",4.45374953726455,7.26644787501298,17.1872745609827,20,"[18-30]",10,"[6.45581395348837-12.5441860465116]",2.20540165877711,26.1497625255,0.787643449563252,0.787643449563252,1.5752868991265,2015,2024,634805,"A90"
"Minas Gerais",8.74987176357351,7.16774912848786,73.2208728285348,7,"[4-11]",14,"[12-15]",2.35859749786086,216.113127789681,0.0241165388329332,0.0241165388329332,0.0482330776658663,2015,2024,20732660,"A90"
"Rio de Janeiro",1.82977254278097,2.4499587648295,12.3921643339603,9,"[2-13]",13,"[12-15.3162790697674]",0.46342198254813,33.3061980704072,0.0300923365290994,0.0300923365290994,0.0601846730581987,2015,2024,16615526,"A90"
"Santa Catarina",3.28049352672782,5.12688718901296,51.5764504737661,12,"[7-13]",13,"[12.7333333333333-14]",0.386490657103685,136.637330308056,0.0644151095172809,0.0644151095172809,0.128830219034562,2015,2024,7762154,"A90"
"Rio Grande do Sul",0.756237798231424,0.819245109728385,11.8629012879506,10,"[5-13]",13,"[11.8712871287129-13]",0.117243179941676,51.4968121128439,0.0450935307467985,0.0450935307467985,0.0901870614935969,2015,2024,11088065,"A90"
"Mato Grosso do Sul",16.4076693184757,13.4321980477699,113.325687822898,6,"[1-10]",14,"[12.7333333333333-15.5333333333333]",2.99956735652011,160.529787115411,0.17644513861883,0.17644513861883,0.35289027723766,2015,2024,2833742,"A90"
"Mato Grosso",8.36806814528973,7.56320491108733,34.8953876416049,4,"[2-7]",15,"[11.2279069767442-17.5441860465116]",2.48398687292214,63.6851953589612,0.132126961325646,0.132126961325646,0.264253922651291,2015,2024,3784239,"A90"
"Goiás",20.5394769238118,18.2151242463095,88.2062167027698,8,"[6-10]",15,"[13.2279069767442-15.7720930232558]",7.6823743888628,163.847494222394,0.0719323444650075,0.0719323444650075,0.143864688930015,2015,2024,6950976,"A90"
"Acre",23.7696633591681,16.5864370437627,82.3236591472502,2,"[47-3]",11,"[5.91162790697675-14]",7.35134613994071,120.995926631155,0.602569355732845,0.602569355732845,1.20513871146569,2015,2024,829780,"A90"
"Amapá",2.88103298260404,5.52210822259498,14.4398873876929,9,"[4-35]",9,"[5.80693069306931-10]",0.774925477999866,39.7795078706598,0.645771231666555,0.645771231666555,1.29154246333311,2015,2024,774268,"A90"
