"SE","casos","APS"
201111,187,"AP5.3"
201112,264,"AP1"
201112,519,"AP2.1"
201112,179,"AP2.2"
201112,175,"AP3.1"
201112,202,"AP3.2"
201112,454,"AP3.3"
201112,505,"AP4"
201112,603,"AP5.1"
201112,704,"AP5.2"
201112,307,"AP5.3"
201113,264,"AP1"
201113,535,"AP2.1"
201113,191,"AP2.2"
201113,310,"AP3.1"
201113,193,"AP3.2"
201113,436,"AP3.3"
201113,521,"AP4"
201113,607,"AP5.1"
201113,851,"AP5.2"
201113,391,"AP5.3"
201114,298,"AP1"
201114,637,"AP2.1"
201114,300,"AP2.2"
201114,410,"AP3.1"
201114,236,"AP3.2"
201114,569,"AP3.3"
201114,631,"AP4"
201114,672,"AP5.1"
201114,918,"AP5.2"
201114,501,"AP5.3"
201115,282,"AP1"
201115,424,"AP2.1"
201115,285,"AP2.2"
201115,256,"AP3.1"
201115,171,"AP3.2"
201115,461,"AP3.3"
201115,459,"AP4"
201115,542,"AP5.1"
201115,1013,"AP5.2"
201115,512,"AP5.3"
201116,162,"AP1"
201116,265,"AP2.1"
201116,240,"AP2.2"
201116,184,"AP3.1"
201116,183,"AP3.2"
201116,409,"AP3.3"
201116,443,"AP4"
201116,611,"AP5.1"
201116,842,"AP5.2"
201116,340,"AP5.3"
201117,152,"AP1"
201117,333,"AP2.1"
201117,235,"AP2.2"
201117,197,"AP3.1"
201117,169,"AP3.2"
201117,418,"AP3.3"
201117,526,"AP4"
201117,674,"AP5.1"
201117,953,"AP5.2"
201117,321,"AP5.3"
201118,169,"AP1"
201118,276,"AP2.1"
201118,228,"AP2.2"
201118,159,"AP3.1"
201118,138,"AP3.2"
201118,314,"AP3.3"
201118,424,"AP4"
201118,425,"AP5.1"
201118,745,"AP5.2"
201118,322,"AP5.3"
201119,110,"AP1"
201119,257,"AP2.1"
201119,158,"AP2.2"
201119,137,"AP3.1"
201119,103,"AP3.2"
201119,278,"AP3.3"
201119,398,"AP4"
201119,500,"AP5.1"
201119,594,"AP5.2"
201119,296,"AP5.3"
201120,89,"AP1"
201120,190,"AP2.1"
201120,122,"AP2.2"
201120,80,"AP3.1"
201120,79,"AP3.2"
201120,258,"AP3.3"
201120,351,"AP4"
201120,382,"AP5.1"
201120,467,"AP5.2"
201120,245,"AP5.3"
201121,58,"AP1"
201121,80,"AP2.1"
201121,96,"AP2.2"
201121,64,"AP3.1"
201121,55,"AP3.2"
201121,151,"AP3.3"
201121,262,"AP4"
201121,298,"AP5.1"
201121,367,"AP5.2"
201121,213,"AP5.3"
201122,32,"AP1"
201122,114,"AP2.1"
201122,72,"AP2.2"
201122,51,"AP3.1"
201122,56,"AP3.2"
201122,165,"AP3.3"
201122,235,"AP4"
201122,260,"AP5.1"
201122,325,"AP5.2"
201122,150,"AP5.3"
201123,19,"AP1"
201123,100,"AP2.1"
201123,37,"AP2.2"
201123,34,"AP3.1"
201123,57,"AP3.2"
201123,121,"AP3.3"
201123,116,"AP4"
201123,129,"AP5.1"
201123,195,"AP5.2"
201123,111,"AP5.3"
201124,7,"AP1"
201124,85,"AP2.1"
201124,26,"AP2.2"
201124,22,"AP3.1"
