"SE","casos","APS"
201413,5,"AP3.2"
201413,7,"AP3.3"
201413,5,"AP4"
201413,14,"AP5.1"
201413,8,"AP5.2"
201413,5,"AP5.3"
201414,4,"AP1"
201414,3,"AP2.1"
201414,1,"AP2.2"
201414,2,"AP3.1"
201414,1,"AP3.2"
201414,5,"AP3.3"
201414,7,"AP4"
201414,12,"AP5.1"
201414,3,"AP5.2"
201414,4,"AP5.3"
201415,2,"AP1"
201415,7,"AP2.1"
201415,0,"AP2.2"
201415,3,"AP3.1"
201415,0,"AP3.2"
201415,10,"AP3.3"
201415,5,"AP4"
201415,16,"AP5.1"
201415,5,"AP5.2"
201415,10,"AP5.3"
201416,3,"AP1"
201416,5,"AP2.1"
201416,0,"AP2.2"
201416,1,"AP3.1"
201416,2,"AP3.2"
201416,9,"AP3.3"
201416,1,"AP4"
201416,3,"AP5.1"
201416,2,"AP5.2"
201416,3,"AP5.3"
201417,1,"AP1"
201417,1,"AP2.1"
201417,2,"AP2.2"
201417,0,"AP3.1"
201417,0,"AP3.2"
201417,1,"AP3.3"
201417,2,"AP4"
201417,4,"AP5.1"
201417,2,"AP5.2"
201417,1,"AP5.3"
201418,0,"AP1"
201418,0,"AP2.1"
201418,0,"AP2.2"
201418,0,"AP3.1"
201418,0,"AP3.2"
201418,0,"AP3.3"
201418,0,"AP4"
201418,0,"AP5.1"
201418,0,"AP5.2"
201418,0,"AP5.3"
