,UF,Município,"Cód IBGE","Cód Região de Saúde","Nome da Região de Saúde"
3600,RJ,"Arraial do Cabo",330025,33002,"Baixada Litorânea"
3601,RJ,"Barra do Piraí",330030,33004,"Médio Paraíba"
3602,RJ,"Barra Mansa",330040,33004,"Médio Paraíba"
3603,RJ,"Belford Roxo",330045,33005,"Metropolitana I"
3604,RJ,"Bom Jardim",330050,33009,Serrana
3605,RJ,"Bom Jesus do Itabapoana",330060,33007,Noroeste
3606,RJ,"Cabo Frio",330070,33002,"Baixada Litorânea"
3607,RJ,"Cachoeiras de Macacu",330080,33009,Serrana
3608,RJ,Cambuci,330090,33007,Noroeste
3609,RJ,"Campos dos Goytacazes",330100,33008,Norte
3610,RJ,Cantagalo,330110,33009,Serrana
3611,RJ,Carapebus,330093,33008,Norte
3612,RJ,"Cardoso Moreira",330115,33007,Noroeste
3613,RJ,Carmo,330120,33009,Serrana
3614,RJ,"Casimiro de Abreu",330130,33002,"Baixada Litorânea"
3615,RJ,"Comendador Levy Gasparian",330095,33003,Centro-Sul
3616,RJ,"Conceição de Macabu",330140,33008,Norte
3617,RJ,Cordeiro,330150,33009,Serrana
3618,RJ,"Duas Barras",330160,33009,Serrana
3619,RJ,"Duque de Caxias",330170,33005,"Metropolitana I"
3620,RJ,"Engenheiro Paulo de Frontin",330180,33003,Centro-Sul
3621,RJ,Guapimirim,330185,33009,Serrana
3622,RJ,"Iguaba Grande",330187,33002,"Baixada Litorânea"
3623,RJ,Itaboraí,330190,33006,"Metropolitana II"
3624,RJ,Itaguaí,330200,33005,"Metropolitana I"
3625,RJ,Italva,330205,33007,Noroeste
3626,RJ,Itaocara,330210,33007,Noroeste
3627,RJ,Itaperuna,330220,33007,Noroeste
3628,RJ,Itatiaia,330225,33004,"Médio Paraíba"
3629,RJ,Japeri,330227,33005,"Metropolitana I"
3630,RJ,"Laje do Muriaé",330230,33007,Noroeste
3631,RJ,Macaé,330240,33008,Norte
3632,RJ,Macuco,330245,33009,Serrana
3633,RJ,Magé,330250,33005,"Metropolitana I"
3634,RJ,Mangaratiba,330260,33001,"Baia da Ilha Grande"
3635,RJ,Maricá,330270,33006,"Metropolitana II"
3636,RJ,Mendes,330280,33003,Centro-Sul
3637,RJ,Mesquita,330285,33005,"Metropolitana I"
3638,RJ,"Miguel Pereira",330290,33003,Centro-Sul
3639,RJ,Miracema,330300,33007,Noroeste
3640,RJ,Natividade,330310,33007,Noroeste
3641,RJ,Nilópolis,330320,33005,"Metropolitana I"
3642,RJ,Niterói,330330,33006,"Metropolitana II"
3643,RJ,"Nova Friburgo",330340,33009,Serrana
3644,RJ,"Nova Iguaçu",330350,33005,"Metropolitana I"
3645,RJ,Paracambi,330360,33003,Centro-Sul
3646,RJ,"Paraíba do Sul",330370,33003,Centro-Sul
3647,RJ,Paraty,330380,33001,"Baia da Ilha Grande"
3648,RJ,"Paty do Alferes",330385,33003,Centro-Sul
3649,RJ,Petrópolis,330390,33009,Serrana
3650,RJ,Pinheiral,330395,33004,"Médio Paraíba"
3651,RJ,Piraí,330400,33004,"Médio Paraíba"
3652,RJ,Porciúncula,330410,33007,Noroeste
3653,RJ,"Porto Real",330411,33004,"Médio Paraíba"
3654,RJ,Quatis,330412,33004,"Médio Paraíba"
3655,RJ,Queimados,330414,33005,"Metropolitana I"
3656,RJ,Quissamã,330415,33008,Norte
3657,RJ,Resende,330420,33004,"Médio Paraíba"
3658,RJ,"Rio Bonito",330430,33006,"Metropolitana II"
3659,RJ,"Rio Claro",330440,33004,"Médio Paraíba"
3660,RJ,"Rio das Flores",330450,33004,"Médio Paraíba"
3661,RJ,"Rio das Ostras",330452,33002,"Baixada Litorânea"
3662,RJ,"Rio de Janeiro",330455,33005,"Metropolitana I"
3663,RJ,"Santa Maria Madalena",330460,33009,Serrana
3664,RJ,"Santo Antônio de Pádua",330470,33007,Noroeste
3665,RJ,"São Fidélis",330480,33008,Norte
3666,RJ,"São Francisco de Itabapoana",330475,33008,Norte
3667,RJ,"São Gonçalo",330490,33006,"Metropolitana II"
3668,RJ,"São João da Barra",330500,33008,Norte
3669,RJ,"São João de Meriti",330510,33005,"Metropolitana I"
3670,RJ,"São José de Ubá",330513,33007,Noroeste
3671,RJ,"São José do Vale do Rio Preto",330515,33009,Serrana
3672,RJ,"São Pedro da Aldeia",330520,33002,"Baixada Litorânea"
3673,RJ,"São Sebastião do Alto",330530,33009,Serrana
3674,RJ,Sapucaia,330540,33003,Centro-Sul
3675,RJ,Saquarema,330550,33002,"Baixada Litorânea"
3676,RJ,Seropédica,330555,33005,"Metropolitana I"
3677,RJ,"Silva Jardim",330560,33006,"Metropolitana II"
3678,RJ,Sumidouro,330570,33009,Serrana
3679,RJ,Tanguá,330575,33006,"Metropolitana II"
3680,RJ,Teresópolis,330580,33009,Serrana
3681,RJ,"Trajano de Moraes",330590,33009,Serrana
3682,RJ,"Três Rios",330600,33003,Centro-Sul
3683,RJ,Valença,330610,33004,"Médio Paraíba"
3684,RJ,Varre-Sai,330615,33007,Noroeste
3685,RJ,Vassouras,330620,33003,Centro-Sul
3686,RJ,"Volta Redonda",330630,33004,"Médio Paraíba"
3687,RN,Acari,240010,24004,"4ª Região de Saúde - Caicó"
3688,RN,Açu,240020,24008,"8ª Região de Saúde - Açu"
3689,RN,"Afonso Bezerra",240030,24003,"3ª Região de Saúde - João Câmara"
3690,RN,"Água Nova",240040,24006,"6ª Região de Saúde - Pau dos Ferros"
3691,RN,Alexandria,240050,24006,"6ª Região de Saúde - Pau dos Ferros"
3692,RN,"Almino Afonso",240060,24006,"6ª Região de Saúde - Pau dos Ferros"
3693,RN,"Alto do Rodrigues",240070,24008,"8ª Região de Saúde - Açu"
3694,RN,Angicos,240080,24008,"8ª Região de Saúde - Açu"
