"SE","tweets","Rt","casos","APS","Rtw","Rtestimado"
201122,244,0.696498054474708,1,"AP1",0.697163120567376,0.696498054474708
201123,159,0.608938547486033,5,"AP1",0.703967446592065,0.608938547486033
201124,152,0.532110091743119,4,"AP1",0.802023121387283,0.532110091743119
201125,130,0.620689655172414,3,"AP1",0.794594594594595,0.620689655172414
201126,174,0.722222222222222,8,"AP1",1.03401360544218,0.722222222222222
201127,109,0.923076923076923,5,"AP1",0.905701754385965,0.923076923076923
201128,89,1.08333333333333,2,"AP1",0.900726392251816,1.08333333333333
201129,95,1.07692307692308,3,"AP1",0.787634408602151,1.07692307692308
201130,76,1,15,"AP1",0.887372013651877,1
201131,56,0.607142857142857,1,"AP1",0.873076923076923,0.607142857142857
201132,57,0.705882352941177,1,"AP1",0.832599118942731,0.705882352941177
201133,75,0.833333333333333,11,"AP1",0.994708994708995,0.833333333333333
201134,43,1.2,7,"AP1",0.930851063829787,1.2
201135,91,0.666666666666667,7,"AP1",1.19428571428571,0.666666666666667
201136,58,0.875,5,"AP1",0.91866028708134,0.875
201137,59,0.571428571428571,6,"AP1",1.08333333333333,0.571428571428571
201138,42,2.75,1,"AP1",0.764423076923077,2.75
201139,54,1.36363636363636,3,"AP1",0.974842767295597,1.36363636363636
201140,68,1.33333333333333,7,"AP1",1.05806451612903,1.33333333333333
201141,61,1,4,"AP1",1.11585365853659,1
201142,88,1.1,3,"AP1",1.18579234972678,1.1
201143,101,1.22727272727273,2,"AP1",1.15207373271889,1.22727272727273
201144,81,1.03703703703704,7,"AP1",1.08,1.03703703703704
201145,82,1.07142857142857,9,"AP1",0.977777777777778,1.07142857142857
201146,85,1.03333333333333,2,"AP1",0.939393939393939,1.03333333333333
201147,71,1.19354838709677,6,"AP1",0.959677419354839,1.19354838709677
201148,97,1.16216216216216,2,"AP1",1.06302521008403,1.16216216216216
201149,78,1.27906976744186,2,"AP1",0.972332015810277,1.27906976744186
201150,98,1.16363636363636,11,"AP1",1.10975609756098,1.16363636363636
201151,107,1.046875,2,"AP1",1.03663003663004,1.046875
201152,61,1.04477611940298,1,"AP1",0.939929328621908,1.04477611940298
201201,140,1.15714285714286,4,"AP1",1.15789473684211,1.15714285714286
201202,102,1.20987654320988,5,"AP1",0.983766233766234,1.20987654320988
201203,125,1.19387755102041,8,"AP1",1.21122112211221,1.19387755102041
201204,77,1.13675213675214,1,"AP1",0.828337874659401,1.13675213675214
201205,86,1.27067669172932,11,"AP1",0.947368421052632,1.27067669172932
201206,87,1.16568047337278,2,"AP1",0.868055555555556,1.16568047337278
201207,120,1.02030456852792,5,"AP1",1.172,1.02030456852792
201208,102,1.20398009950249,17,"AP1",1.05460750853242,1.20398009950249
201209,222,1.29338842975207,3,"AP1",1.4368932038835,1.29338842975207
201210,242,1.30031948881789,4,"AP1",1.27477477477477,1.30031948881789
201211,206,1.08353808353808,4,"AP1",1.18374558303887,1.08353808353808
201212,252,1.01133786848073,7,"AP1",1.04477611940298,1.01133786848073
201213,267,1.02466367713004,16,"AP1",1.03571428571429,1.02466367713004
201214,262,1.07877461706783,7,"AP1",1.07724137931034,1.07877461706783
201215,300,1.20892494929006,6,"AP1",1.06145966709347,1.20892494929006
201216,442,1.13926174496644,1,"AP1",1.21109770808203,1.13926174496644
201217,556,1.14727540500736,4,"AP1",1.29282868525896,1.14727540500736
201218,429,1.0012836970475,11,"AP1",1.09938366718028,1.0012836970475
201219,561,1.00769230769231,1,"AP1",1.08339173090399,1.00769230769231
201220,437,0.975826972010178,3,"AP1",0.923027166882277,0.975826972010178
201221,323,0.986962190352021,3,"AP1",0.925718290119131,0.986962190352021
201222,377,0.852047556142668,2,"AP1",0.860711582134746,0.852047556142668
201223,271,0.770542635658915,12,"AP1",0.854001759014952,0.770542635658915
201224,215,0.698189134808853,4,"AP1",0.888774459320288,0.698189134808853
201225,162,0.757925072046109,4,"AP1",0.750869061413673,0.757925072046109
201226,169,0.699619771863118,1,"AP1",0.842592592592593,0.699619771863118
201227,148,0.809782608695652,4,"AP1",0.877289377289377,0.809782608695652
201228,147,0.885906040268456,8,"AP1",0.968684759916493,0.885906040268456
201229,94,0.878787878787879,2,"AP1",0.838362068965517,0.878787878787879
201230,66,0.672413793103448,3,"AP1",0.789203084832905,0.672413793103448
201231,90,0.884615384615385,6,"AP1",0.814332247557003,0.884615384615385
201232,84,0.927536231884058,2,"AP1",0.96,0.927536231884058
201233,63,1.109375,6,"AP1",0.9875,1.109375
201234,56,0.859154929577465,4,"AP1",0.856540084388186,0.859154929577465
201235,63,0.934426229508197,5,"AP1",0.896551724137931,0.934426229508197
201236,53,0.701754385964912,1,"AP1",0.945054945054945,0.701754385964912
201237,84,0.8,2,"AP1",1.16279069767442,0.8
201238,69,1.0625,11,"AP1",1.03,1.0625
201239,49,1.05882352941176,3,"AP1",0.980582524271845,1.05882352941176
201240,52,1.02777777777778,2,"AP1",0.841584158415842,1.02777777777778
201241,48,0.72972972972973,5,"AP1",0.876470588235294,0.72972972972973
201242,63,1,3,"AP1",1.09395973154362,1
201243,87,0.740740740740741,14,"AP1",1.21472392638037,0.740740740740741
201244,60,1.3,3,"AP1",1.06060606060606,1.3
201245,53,1,6,"AP1",0.952380952380952,1
201246,70,1.03846153846154,1,"AP1",0.915,1.03846153846154
201247,64,0.814814814814815,1,"AP1",1.02185792349727,0.814814814814815
201248,74,0.772727272727273,15,"AP1",1.11229946524064,0.772727272727273
201249,86,1.29411764705882,2,"AP1",1.07692307692308,1.29411764705882
201250,86,1.18181818181818,5,"AP1",1.09821428571429,1.18181818181818
201251,71,1.15384615384615,4,"AP1",0.98780487804878,1.15384615384615
201252,72,0.933333333333333,2,"AP1",0.94238683127572,0.933333333333333
201301,96,1.17857142857143,9,"AP1",1.04366812227074,1.17857142857143
201302,135,2.12121212121212,2,"AP1",1.26778242677824,2.12121212121212
201303,212,1.71428571428571,14,"AP1",1.46204620462046,1.71428571428571
201304,195,1.25,3,"AP1",1.2234762979684,1.25
201305,185,1.03333333333333,10,"AP1",1.09225092250923,1.03333333333333
201306,184,0.948387096774194,12,"AP1",0.952702702702703,0.948387096774194
201307,224,1.27891156462585,9,"AP1",1.05141843971631,1.27891156462585
201308,440,1.70212765957447,4,"AP1",1.43001686340641,1.70212765957447
201309,473,1.3875,8,"AP1",1.34080188679245,1.3875
201310,474,1.19144144144144,7,"AP1",1.21987686895339,1.19144144144144
201311,659,1.12098298676749,22,"AP1",1.15789473684211,1.12098298676749
201312,869,1.1247892074199,0,"AP1",1.24657534246575,1.1247892074199
201313,852,1.10794602698651,11,"AP1",1.18881118881119,1.10794602698651
201314,932,1.1339648173207,0,"AP1",1.11470588235294,1.1339648173207
201315,1369,1.12171837708831,7,"AP1",1.18846588767433,1.12171837708831
201316,783,1.10957446808511,13,"AP1",0.978116079923882,1.10957446808511
201317,601,0.87535953978907,14,"AP1",0.892671854734112,0.87535953978907
201318,443,0.869660460021906,4,"AP1",0.663639665819106,0.869660460021906
201319,368,0.7544080604534,11,"AP1",0.772851669403394,0.7544080604534
201320,304,0.84974958263773,8,"AP1",0.789660056657224,0.84974958263773
201321,206,0.697445972495088,10,"AP1",0.787443946188341,0.697445972495088
201322,193,0.71830985915493,8,"AP1",0.800683371298405,0.71830985915493
201323,164,0.603921568627451,15,"AP1",0.800853485064011,0.603921568627451
201324,146,0.62987012987013,4,"AP1",0.893428063943162,0.62987012987013
201325,150,0.680412371134021,8,"AP1",0.914512922465209,0.680412371134021
201326,123,0.636363636363636,13,"AP1",0.910869565217391,0.636363636363636
201327,88,0.69047619047619,5,"AP1",0.861575178997613,0.69047619047619
201328,90,0.482758620689655,3,"AP1",0.833795013850416,0.482758620689655
201329,84,1.28571428571429,5,"AP1",0.870431893687708,1.28571428571429
201330,57,0.722222222222222,10,"AP1",0.881679389312977,0.722222222222222
201331,148,1.30769230769231,7,"AP1",1.25108225108225,1.30769230769231
201332,155,0.705882352941177,5,"AP1",1.24567474048443,0.705882352941177
201333,71,0.833333333333333,2,"AP1",1.03888888888889,0.833333333333333
201334,97,0.5,3,"AP1",0.863636363636364,0.5
201335,63,0.6,4,"AP1",0.715170278637771,0.6
201336,55,2.33333333333333,25,"AP1",0.930735930735931,2.33333333333333
201337,46,1.14285714285714,8,"AP1",0.762790697674419,1.14285714285714
201338,115,1.125,1,"AP1",1.31707317073171,1.125
201339,45,1.22222222222222,4,"AP1",0.953703703703704,1.22222222222222
201340,56,0.636363636363636,8,"AP1",1.04854368932039,0.636363636363636
201341,53,1.14285714285714,10,"AP1",0.712962962962963,1.14285714285714
201342,57,0.5,4,"AP1",1.07792207792208,0.5
201343,69,1.25,7,"AP1",1.07831325301205,1.25
201344,66,1,0,"AP1",1.07262569832402,1
201345,54,1,3,"AP1",0.984375,1
201346,63,1.2,9,"AP1",0.968253968253968,1.2
201347,86,1.33333333333333,8,"AP1",1.10928961748634,1.33333333333333
201348,74,1.125,5,"AP1",1.09852216748768,1.125
201349,60,1.44444444444444,8,"AP1",0.986547085201794,1.44444444444444
