"julian","SE","data","dia","casos","twits","tmin","tmed","tmax","t18","t24","t28","t32","mmchuva","diaschuva","umin","umed","casosq","Rt"
604,87,201135,"28Aug2011",82,91,18.495,22.9594139489716,40.6925,5.75173611111111,2.43576388888889,1.09548611111111,0.567708333333333,4.4,0.0798611111111111,38.5517857142857,61.9414248493584,174,0.805555555555556
611,88,201136,"4Sep2011",108,58,19.7353571428571,23.9441405498668,35.625,6.703125,2.92708333333333,1.16145833333333,0.298611111111111,0.45,0.0138888888888889,48.5839285714286,72.8746276640027,190,1.09195402298851
618,89,201137,"11Sep2011",98,59,18.3517857142857,21.6233035777901,32.125,6.46006944444444,1.36458333333333,0.409722222222222,0.0677083333333333,23.95,0.326388888888889,56.9921428571429,75.5961591186223,206,1.08421052631579
625,90,201138,"18Sep2011",162,42,19.1167857142857,23.4117939872627,35.3175,6.67708333333333,2.51909722222222,1.015625,0.310763888888889,1.7,0.0451388888888889,47.4814285714286,69.78090131626,260,1.2621359223301
632,91,201139,"25Sep2011",175,54,19.8857142857143,24.7683738073066,39.7925,6.41145833333333,3.22916666666667,1.52604166666667,0.574652777777778,0,0,42.9857142857143,68.5438981108137,337,1.29615384615385
639,92,201140,"2Oct2011",173,68,21.065,25.004702241372,37.8275,6.89756944444444,3.31076388888889,1.49305555555556,0.654513888888889,14.95,0.241319444444444,50.0107142857143,72.9301048505616,348,1.0326409495549
646,93,201141,"9Oct2011",194,61,21.51,25.2862406838912,38.8025,6.56597222222222,3.45138888888889,1.63888888888889,0.651041666666667,37.5,0.479166666666667,57.8617857142857,80.4930094255712,367,1.05459770114943
653,94,201142,"16Oct2011",179,88,18.4182142857143,21.7148365068946,32.0925,6.42708333333333,1.43923611111111,0.355902777777778,0.0486111111111111,48.875,0.602430555555556,57.2557142857143,76.9699599871164,373,1.01634877384196
660,95,201143,"23Oct2011",232,101,21.6660714285714,27.0713174564397,39.73,6.95659722222222,4.64583333333333,2.59895833333333,1.30034722222222,14.35,0.0694444444444444,41.5,67.3010738942672,411,1.10187667560322
667,96,201144,"30Oct2011",218,81,17.5035714285714,21.4652626189366,32.32,5.83159722222222,1.59548611111111,0.479166666666667,0.0711805555555556,10.65,0.222222222222222,47.5982142857143,69.061101810563,450,1.09489051094891
674,97,201145,"6Nov2011",304,82,21.8367857142857,26.3989035969377,37.9025,6.93923611111111,4.4375,2.26215277777778,0.878472222222222,9.1,0.123263888888889,46.7410714285714,70.2803257945918,522,1.16
681,98,201146,"13Nov2011",252,85,20.0003571428571,22.8804052718115,31.195,6.86111111111111,2.16493055555556,0.399305555555556,0.00868055555555556,33.95,0.505208333333333,62.4139285714286,80.2361504988068,556,1.06513409961686
688,99,201147,"20Nov2011",401,71,21.8832142857143,25.6454415861008,39.5425,6.96180555555556,3.82291666666667,1.66145833333333,0.637152777777778,29.05,0.315972222222222,55.425,76.8095642906668,653,1.17446043165468
